epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.1756,2.70696,8.72825,1.83882,0.1771,0.46667,0.23102,0.16058,1.39432,15.1222,1.35428,0.00012,0.00012,0.00012
2,182.194,2.18316,4.02851,1.51705,0.25453,0.53333,0.2177,0.15347,1.4124,5.38808,1.22937,0.000257426,0.000257426,0.000257426
3,274.183,1.97519,3.31513,1.40797,0.49368,0.4,0.33406,0.19625,1.36621,2.25663,1.19047,0.00039208,0.00039208,0.00039208
4,362.878,1.89553,2.55413,1.30782,0.60168,0.53333,0.50916,0.31709,1.62556,2.68601,1.3747,0.000523962,0.000523962,0.000523962
5,450.248,2.06194,2.49208,1.46541,0.33809,0.6,0.5213,0.40447,1.46106,6.12276,1.23431,0.000653072,0.000653072,0.000653072
6,538.742,1.87437,2.56564,1.38819,0.88914,0.6,0.59079,0.39972,1.60186,2.52488,1.40255,0.00077941,0.00077941,0.00077941
7,626.149,1.9234,2.38575,1.42786,0.0315,0.6,0.02514,0.01109,2.25441,24.9546,3.21202,0.000902976,0.000902976,0.000902976
8,713.27,1.97487,2.4151,1.4688,0.27838,0.66667,0.2328,0.10718,2.30154,8.39184,1.96888,0.00102377,0.00102377,0.00102377
9,800.138,1.95213,2.11471,1.49542,0.87866,0.6,0.62991,0.39882,1.88374,3.13444,1.8858,0.00114179,0.00114179,0.00114179
10,887.355,1.89469,1.76814,1.50391,0.87277,0.46667,0.64081,0.32016,2.05933,1.91867,1.75879,0.00125704,0.00125704,0.00125704
11,974.318,1.94843,1.94578,1.51581,0.63484,0.46667,0.50359,0.28256,1.85521,2.99448,1.72913,0.00136952,0.00136952,0.00136952
12,1061.48,1.7324,1.82074,1.435,0.7348,0.6,0.63649,0.31896,2.04498,2.0037,1.68411,0.00147923,0.00147923,0.00147923
13,1149.7,2.02373,1.88245,1.63256,0.81383,0.53333,0.62063,0.21394,1.95077,3.49522,1.62414,0.00158616,0.00158616,0.00158616
14,1236.83,2.02511,1.81089,1.58494,0.01003,0.6,0.00807,0.00388,2.3502,138.494,1.68369,0.00169032,0.00169032,0.00169032
15,1323.62,2.1013,1.87027,1.65158,0.9035,0.6,0.63912,0.37886,1.97225,4.10631,1.60477,0.0017228,0.0017228,0.0017228
16,1410.51,1.99225,1.89091,1.63729,0.89202,0.66667,0.74552,0.37252,1.85588,2.09473,1.6277,0.001703,0.001703,0.001703
17,1497.48,1.91838,1.72077,1.54462,0.82256,0.66667,0.72298,0.39382,1.9536,2.13106,1.59493,0.0016832,0.0016832,0.0016832
18,1584.9,1.74656,1.57464,1.38485,0.73405,0.73619,0.72988,0.36872,1.97621,2.35786,1.60194,0.0016634,0.0016634,0.0016634
19,1671.68,1.8256,1.60625,1.47096,0.78941,0.6,0.61328,0.43024,1.63603,1.61684,1.57534,0.0016436,0.0016436,0.0016436
20,1758.48,1.8999,1.69596,1.41717,0.8824,0.6,0.63358,0.40651,1.78705,1.47224,1.54919,0.0016238,0.0016238,0.0016238
21,1845.17,1.74695,1.53866,1.37095,0.90811,0.65948,0.69884,0.39778,1.76506,1.49211,1.55591,0.001604,0.001604,0.001604
22,1932,1.64591,1.47878,1.33772,0.8909,0.6,0.57286,0.36267,1.68523,1.55034,1.56652,0.0015842,0.0015842,0.0015842
23,2018.58,1.87355,1.62422,1.46322,0.82648,0.53333,0.58121,0.37562,1.60781,1.70209,1.56655,0.0015644,0.0015644,0.0015644
24,2105.31,1.77249,1.78893,1.49202,0.64383,0.72356,0.54466,0.29799,2.08055,2.05709,1.9143,0.0015446,0.0015446,0.0015446
25,2192.01,1.81215,1.54646,1.46168,0.54652,0.6,0.39907,0.22891,1.98148,2.65308,1.80937,0.0015248,0.0015248,0.0015248
26,2278.63,1.66907,1.54995,1.43469,0.4019,0.6,0.34612,0.1475,2.1558,2.00517,1.90166,0.001505,0.001505,0.001505
27,2365.33,1.75708,1.65514,1.47008,0.62711,0.5618,0.54437,0.30532,2.00839,1.80386,1.75211,0.0014852,0.0014852,0.0014852
28,2452.09,1.77348,1.643,1.44366,0.71308,0.66302,0.67705,0.43396,1.50816,2.63403,1.40277,0.0014654,0.0014654,0.0014654
29,2538.83,1.62743,1.33277,1.32571,0.73423,0.53333,0.64593,0.40848,1.48133,2.96409,1.38977,0.0014456,0.0014456,0.0014456
30,2626.3,1.67922,1.53832,1.40167,0.71889,0.53333,0.64541,0.40309,1.5121,1.50019,1.38414,0.0014258,0.0014258,0.0014258
31,2713.31,1.77285,1.4562,1.53135,0.66433,0.66012,0.62896,0.36893,1.66289,1.51345,1.5236,0.001406,0.001406,0.001406
32,2800.43,1.61081,1.37815,1.31338,0.62553,0.7803,0.58216,0.32675,1.55625,1.35351,1.45132,0.0013862,0.0013862,0.0013862
33,2887.25,1.59798,1.26438,1.32173,0.80191,0.66667,0.72704,0.46117,1.37703,1.21092,1.3839,0.0013664,0.0013664,0.0013664
34,2974.31,1.61998,1.44609,1.34852,0.89387,0.66667,0.71236,0.47031,1.48851,1.41046,1.42133,0.0013466,0.0013466,0.0013466
35,3061.27,1.6958,1.41882,1.39206,0.77687,0.69755,0.62548,0.39358,1.61348,1.49847,1.52893,0.0013268,0.0013268,0.0013268
36,3148.07,1.57441,1.42643,1.32035,0.59142,0.66667,0.49877,0.3464,1.51221,1.47287,1.46609,0.001307,0.001307,0.001307
37,3234.83,1.50876,1.32506,1.32729,0.60828,0.6,0.4998,0.3175,1.54913,1.51201,1.45444,0.0012872,0.0012872,0.0012872
38,3321.88,1.53099,1.31042,1.28976,0.65367,0.6,0.53037,0.35027,1.47063,1.55491,1.39659,0.0012674,0.0012674,0.0012674
39,3409.07,1.55827,1.44185,1.31489,0.81614,0.59252,0.63504,0.43448,1.40405,1.58955,1.41891,0.0012476,0.0012476,0.0012476
40,3495.97,1.60168,1.40259,1.31211,0.87186,0.6,0.69224,0.49959,1.39592,1.48691,1.38423,0.0012278,0.0012278,0.0012278
41,3583.17,1.7042,1.47925,1.32405,0.87642,0.6,0.67972,0.49384,1.34693,1.41569,1.32725,0.001208,0.001208,0.001208
42,3678.46,1.58463,1.32108,1.37707,0.85917,0.6,0.69725,0.47167,1.4216,1.39245,1.39367,0.0011882,0.0011882,0.0011882
43,3787.15,1.62896,1.64791,1.34056,0.81419,0.8,0.73739,0.504,1.29693,1.18804,1.3298,0.0011684,0.0011684,0.0011684
44,29673.3,1.76741,1.57335,1.43615,0.9225,0.79395,0.77446,0.47514,1.3863,1.24282,1.37334,0.0011486,0.0011486,0.0011486
45,29763,1.66589,1.41888,1.41652,0.92078,0.77616,0.76457,0.44369,1.42182,1.26139,1.33742,0.0011288,0.0011288,0.0011288
46,29861.5,1.6313,1.46674,1.31209,0.73307,0.7324,0.58121,0.33566,1.59434,1.48491,1.48448,0.001109,0.001109,0.001109
